Area,Employment September 2019,Average weekly wage(1)
United States(2),148556525,1093
Florida,8838211,955
Alachua,134446,937
Baker,7588,648
Bay,74725,815
Bradford,6651,717
Brevard,221776,958
Broward,819355,1000
Calhoun,2858,639
Charlotte,47750,756
Citrus,32203,722
Clay,53758,746
Collier,145782,920
Columbia,24856,755
De Soto,9084,707
Dixie,2790,677
Duval,525212,1008
Escambia,137918,856
Flagler,24047,667
Franklin,3292,631
Gadsden,15315,701
Gilchrist,3636,656
Glades,1882,814
Gulf,3726,720
Hamilton,3125,854
Hardee,6637,689
Hendry,11319,706
Hernando,45147,715
Highlands,26917,683
Hillsborough,707966,1046
Holmes,3525,609
Indian River,52297,803
Jackson,14610,700
Jefferson,2438,670
Lafayette,1377,645
Lake,101288,741
Lee,264337,854
Leon,152885,901
Levy,8819,615
Liberty,1889,698
Madison,4534,639
Manatee,128034,840
Marion,105060,735
Martin,68391,807
Miami-Dade,1157209,1039
Monroe,40374,823
Nassau,23740,782
Okaloosa,85664,894
Okeechobee,11440,690
Orange,868533,958
Osceola,99833,720
Palm Beach,606613,1009
Pasco,122676,775
Pinellas,438378,931
Polk,228343,822
Putnam,16399,738
St. Johns,78987,851
St. Lucie,79878,788
Santa Rosa,40191,715
Sarasota,169540,898
Seminole,200174,929
Sumter,31503,806
Suwannee,11411,684
Taylor,6419,743
Union,3399,746
Volusia,173536,763
Wakulla,5943,725
Walton,27386,778
Washington,6108,675
