GeoFips,GeoName,LineCode,Description,2018
12001,"Alachua, FL",1,Real GDP (thousands of chained 2012 dollars),12447381
12001,"Alachua, FL",2,Chain-type quantity indexes for real GDP,113.797
12001,"Alachua, FL",3,Current-dollar GDP (thousands of current dollars),14129555
12003,"Baker, FL",1,Real GDP (thousands of chained 2012 dollars),595832
12003,"Baker, FL",2,Chain-type quantity indexes for real GDP,111.834
12003,"Baker, FL",3,Current-dollar GDP (thousands of current dollars),654846
12005,"Bay, FL",1,Real GDP (thousands of chained 2012 dollars),7606775
12005,"Bay, FL",2,Chain-type quantity indexes for real GDP,109.408
12005,"Bay, FL",3,Current-dollar GDP (thousands of current dollars),8649911
12007,"Bradford, FL",1,Real GDP (thousands of chained 2012 dollars),659865
12007,"Bradford, FL",2,Chain-type quantity indexes for real GDP,111.332
12007,"Bradford, FL",3,Current-dollar GDP (thousands of current dollars),733405
12009,"Brevard, FL",1,Real GDP (thousands of chained 2012 dollars),23437467
12009,"Brevard, FL",2,Chain-type quantity indexes for real GDP,121.769
12009,"Brevard, FL",3,Current-dollar GDP (thousands of current dollars),25675517
12011,"Broward, FL",1,Real GDP (thousands of chained 2012 dollars),96874849
12011,"Broward, FL",2,Chain-type quantity indexes for real GDP,119.461
12011,"Broward, FL",3,Current-dollar GDP (thousands of current dollars),108572033
12013,"Calhoun, FL",1,Real GDP (thousands of chained 2012 dollars),250104
12013,"Calhoun, FL",2,Chain-type quantity indexes for real GDP,98.597
12013,"Calhoun, FL",3,Current-dollar GDP (thousands of current dollars),282532
12015,"Charlotte, FL",1,Real GDP (thousands of chained 2012 dollars),4670656
12015,"Charlotte, FL",2,Chain-type quantity indexes for real GDP,119.669
12015,"Charlotte, FL",3,Current-dollar GDP (thousands of current dollars),5227779
12017,"Citrus, FL",1,Real GDP (thousands of chained 2012 dollars),3511018
12017,"Citrus, FL",2,Chain-type quantity indexes for real GDP,99.821
12017,"Citrus, FL",3,Current-dollar GDP (thousands of current dollars),3989942
12019,"Clay, FL",1,Real GDP (thousands of chained 2012 dollars),4508532
12019,"Clay, FL",2,Chain-type quantity indexes for real GDP,121.412
12019,"Clay, FL",3,Current-dollar GDP (thousands of current dollars),5095775
12021,"Collier, FL",1,Real GDP (thousands of chained 2012 dollars),15760299
12021,"Collier, FL",2,Chain-type quantity indexes for real GDP,126.817
12021,"Collier, FL",3,Current-dollar GDP (thousands of current dollars),17910636
12023,"Columbia, FL",1,Real GDP (thousands of chained 2012 dollars),2117963
12023,"Columbia, FL",2,Chain-type quantity indexes for real GDP,117.287
12023,"Columbia, FL",3,Current-dollar GDP (thousands of current dollars),2324177
12027,"DeSoto, FL",1,Real GDP (thousands of chained 2012 dollars),828489
